Feature,Importance
MonthlyIncome,0.07942104388876699
Age,0.05226728925313539
TotalWorkingYears,0.049185522784548505
DailyRate,0.04740756181812632
MonthlyRate,0.04389656545707046
HourlyRate,0.042372362276652975
YearsAtCompany,0.04189598623469466
DistanceFromHome,0.04167152899994042
OverTime_Yes,0.04123453365472607
OverTime_No,0.039652040998782785
NumCompaniesWorked,0.03330351856883428
PercentSalaryHike,0.03106772259992713
YearsWithCurrManager,0.029708564775849412
StockOptionLevel,0.02706045311077768
YearsInCurrentRole,0.02688774401138519
JobSatisfaction,0.02584454914682004
YearsSinceLastPromotion,0.02540714025698819
JobLevel,0.02469481671314257
TrainingTimesLastYear,0.02410190914884899
EnvironmentSatisfaction,0.022545095026300588
WorkLifeBalance,0.02161481943166653
JobInvolvement,0.0206682433341005
RelationshipSatisfaction,0.020248184393851378
MaritalStatus_Single,0.02010901520948243
Education,0.01809090895621043
BusinessTravel_Travel_Frequently,0.0123375899490268
JobRole_Sales Representative,0.00960163768640948
JobRole_Laboratory Technician,0.008975671009464075
Department_Sales,0.008844090200322998
MaritalStatus_Married,0.008390026977479651
Department_Research & Development,0.007825985900598853
Gender_Female,0.007765194790130959
EducationField_Medical,0.00758376080295805
EducationField_Life Sciences,0.0070867621987879496
JobRole_Sales Executive,0.007007040795946292
EducationField_Technical Degree,0.006897575206220751
BusinessTravel_Travel_Rarely,0.006846969303131652
Gender_Male,0.006817935170402481
MaritalStatus_Divorced,0.006495508593356147
JobRole_Research Scientist,0.006285274912652256
EducationField_Marketing,0.005599801919403733
PerformanceRating,0.004086260273985349
BusinessTravel_Non-Travel,0.003333162949813842
EducationField_Other,0.0032401099546597112
JobRole_Manufacturing Director,0.0029540944000221144
JobRole_Human Resources,0.002741575918706386
EducationField_Human Resources,0.0023657385727690267
Department_Human Resources,0.0021146665010929083
JobRole_Healthcare Representative,0.0020301228517404946
JobRole_Manager,0.00138878720412968
JobRole_Research Director,0.0010275359061585713
